APLICAÇÕES,,VALORES ATUAIS,,,,RENDIMENTOS,,,POR ANO,,,,,,,,POR MÊS EM 2025,,,,,,,,,,,
NOME,,TOTAL APORTES, VALOR LIQUIDO,%  Carteira,,$ TOTAL,% TOTAL,,2019,2020,2021,2022,2023,2024,2025,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,32.75%,44.67%,44.62%,13.71%,15.96%,-14.39%,-2.31%,,1.77%,-4.45%,0.46%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles River FIA,,"R$22,772.30","R$30,630.04",9.56%,,"R$7,857.74",34.51%,,0.00%,0.00%,0.00%,19.98%,28.65%,-6.65%,0.66%,,3.71%,-2.94%,,,,,,,,,,
Ibovespa,,"R$56,425.53","R$61,660.31",19.25%,,"R$5,234.78",9.28%,,0.00%,0.00%,0.00%,0.00%,10.36%,0.27%,-1.77%,,-3.83%,2.11%,0.03%,,,,,,,,,
BTC,,"R$5,095.81","R$10,750.64",3.36%,,"R$5,654.83",110.97%,,0.00%,0.00%,0.00%,-27.79%,112.43%,71.34%,-6.25%,,1.99%,-17.49%,11.60%,,,,,,,,,
SOL,,R$500.99,"R$1,097.32",0.34%,,R$596.33,119.03%,,0.00%,0.00%,0.00%,-25.98%,68.52%,66.37%,-25.36%,,13.60%,-43.26%,26.94%,,,,,,,,,
SUI,,R$980.00,R$824.42,0.26%,,-R$155.58,-15.88%,,0.00%,0.00%,0.00%,0.00%,0.00%,21.43%,-24.17%,,-4.08%,-30.29%,13.42%,,,,,,,,,
XLU,,R$141.89,R$140.36,0.04%,,-R$1.53,-1.08%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,-1.23%,,-2.57%,1.46%,-0.08%,,,,,,,,,
GLDM,,R$209.40,R$213.58,0.07%,,R$4.18,2.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,5.99%,0.04%,,0.43%,-0.13%,0.03%,,,,,,,,,
VGK,,R$141.89,R$140.53,0.04%,,-R$1.36,-0.96%,,0.00%,0.00%,0.00%,0.00%,0.00%,-4.78%,4.02%,,-0.28%,4.31%,,,,,,,,,,
XLV,,R$62.76,R$58.25,0.02%,,-R$4.51,-7.19%,,0.00%,0.00%,0.00%,0.00%,0.00%,-9.23%,2.25%,,0.39%,1.85%,,,,,,,,,,
IWD,,R$434.43,R$433.41,0.14%,,-R$1.02,-0.23%,,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%,-1.35%,,-2.08%,0.81%,-0.07%,,,,,,,,,
XLC,,R$381.51,R$424.46,0.13%,,R$42.95,11.26%,,0.00%,0.00%,0.00%,0.00%,0.00%,12.39%,-1.01%,,-1.01%,0.07%,-0.07%,,,,,,,,,
VIG,,R$114.60,R$120.88,0.04%,,R$6.28,5.48%,,0.00%,0.00%,0.00%,0.00%,0.00%,8.00%,-2.33%,,-3.02%,0.81%,-0.10%,,,,,,,,,
CDB 5a 14.1%,,"R$8,000.00","R$9,648.77",3.01%,,"R$1,648.77",20.61%,,0.00%,0.00%,0.00%,0.00%,3.35%,14.10%,2.28%,,1.16%,1.05%,0.05%,,,,,,,,,
LCD 85% - BRDE,,"R$11,030.40","R$11,283.04",3.52%,,R$252.64,2.29%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,1.74%,,0.86%,0.84%,0.04%,,,,,,,,,
Guepardo FIA,,"R$29,954.56","R$31,153.49",9.72%,,"R$1,198.93",4.00%,,0.00%,0.00%,0.00%,-3.00%,26.42%,-10.37%,-0.93%,,3.78%,-4.54%,,,,,,,,,,
Daycoval Classic CP,,"R$20,000.00","R$20,850.81",6.51%,,R$850.81,4.25%,,0.00%,0.00%,0.00%,0.00%,0.00%,2.06%,2.15%,,1.09%,1.06%,,,,,,,,,,
West Asset BDR,,"R$20,627.25","R$24,474.04",7.64%,,"R$3,846.79",18.65%,,0.00%,0.00%,0.00%,0.00%,0.00%,28.30%,-7.52%,,-2.24%,-5.40%,,,,,,,,,,
XP CDI Debêntures,,"R$7,500.00","R$8,284.69",2.59%,,R$784.69,10.46%,,0.00%,0.00%,0.00%,0.00%,0.00%,7.99%,2.29%,,0.90%,1.38%,,,,,,,,,,
Schroder CP HG,,"R$8,478.49","R$11,997.47",3.74%,,"R$3,518.98",41.50%,,0.00%,0.00%,0.11%,16.04%,8.12%,10.57%,2.09%,,1.03%,1.05%,,,,,,,,,,
Trend Investback,,R$34.96,R$177.21,0.06%,,R$142.25,406.89%,,0.00%,0.00%,0.00%,10.93%,46.17%,27.57%,1.60%,,1.08%,0.91%,,,,,,,,,,
Ibiuna CP,,"R$17,836.80","R$24,530.15",7.66%,,"R$6,693.35",37.53%,,0.00%,0.00%,0.26%,11.47%,9.74%,10.39%,2.30%,,1.12%,1.17%,,,,,,,,,,
Real Investor FIM,,"R$20,445.74","R$21,946.93",6.85%,,"R$1,501.19",7.34%,,0.00%,0.00%,0.00%,0.00%,0.00%,5.71%,1.55%,,1.04%,0.50%,,,,,,,,,,
Legacy FIM CP,,"R$9,893.58","R$10,662.69",3.33%,,R$769.11,7.77%,,0.00%,0.00%,0.00%,0.00%,0.00%,5.47%,2.19%,,0.97%,1.21%,,,,,,,,,,
JGP Deb FIM CP,,"R$11,000.00","R$12,756.50",3.98%,,"R$1,756.50",15.97%,,0.00%,0.00%,0.00%,0.00%,3.90%,8.71%,2.67%,,0.87%,1.78%,,,,,,,,,,
Tarpon GT 90 FIA,,"R$14,001.36","R$15,897.35",4.96%,,"R$1,895.99",13.54%,,0.00%,0.00%,0.00%,0.00%,14.31%,0.89%,8.12%,,4.81%,3.16%,,,,,,,,,,
Ascensus 15 18%,,"R$2,522.22","R$2,548.66",0.80%,,R$26.44,1.05%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.05%,,0.00%,0.96%,0.09%,,,,,,,,,
Contas Correntes,,"R$4,747.40","R$7,670.04",2.39%,,"R$2,922.64",61.56%,,30.19%,2.45%,2.36%,3.15%,9.86%,-7.76%,2.07%,,2.48%,-2.65%,0.07%,,,,,,,,,
